,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,9e-07,9e-07,8.9e-07,9e-07,475293.0,2020-02-10 15:00:00
1,1581343200000,8.9e-07,9e-07,8.8e-07,9e-07,1686190.0,2020-02-10 14:00:00
2,1581339600000,8.9e-07,9e-07,8.8e-07,8.9e-07,742908.0,2020-02-10 13:00:00
3,1581336000000,8.8e-07,9e-07,8.6e-07,8.9e-07,4047436.0,2020-02-10 12:00:00
4,1581332400000,8.8e-07,8.8e-07,8.7e-07,8.8e-07,2010589.0,2020-02-10 11:00:00
5,1581328800000,8.7e-07,8.8e-07,8.6e-07,8.8e-07,2085474.0,2020-02-10 10:00:00
6,1581325200000,8.8e-07,8.8e-07,8.6e-07,8.8e-07,1813864.0,2020-02-10 09:00:00
7,1581321600000,8.9e-07,9e-07,8.6e-07,8.8e-07,8114756.0,2020-02-10 08:00:00
8,1581318000000,9e-07,9e-07,8.7e-07,8.9e-07,5668961.0,2020-02-10 07:00:00
9,1581314400000,9.1e-07,9.1e-07,8.9e-07,9e-07,3704433.0,2020-02-10 06:00:00
10,1581310800000,8.9e-07,9.2e-07,8.8e-07,9.2e-07,9515730.0,2020-02-10 05:00:00
11,1581307200000,9.3e-07,9.3e-07,8.9e-07,9e-07,10981296.0,2020-02-10 04:00:00
12,1581303600000,9.5e-07,9.5e-07,9.1e-07,9.3e-07,7846735.0,2020-02-10 03:00:00
13,1581300000000,9.5e-07,9.7e-07,9.4e-07,9.5e-07,6299891.0,2020-02-10 02:00:00
14,1581296400000,9.5e-07,9.6e-07,9.4e-07,9.5e-07,2615155.0,2020-02-10 01:00:00
15,1581292800000,9.4e-07,9.6e-07,9.3e-07,9.5e-07,2838523.0,2020-02-10 00:00:00
16,1581289200000,9.2e-07,9.5e-07,9.2e-07,9.4e-07,2503513.0,2020-02-09 23:00:00
17,1581285600000,9.5e-07,9.5e-07,9.1e-07,9.3e-07,3007041.0,2020-02-09 22:00:00
18,1581282000000,9.1e-07,9.5e-07,9e-07,9.5e-07,9144776.0,2020-02-09 21:00:00
19,1581278400000,9.1e-07,9.2e-07,9e-07,9.1e-07,1584031.0,2020-02-09 20:00:00
20,1581274800000,9.1e-07,9.1e-07,9e-07,9.1e-07,3110178.0,2020-02-09 19:00:00
21,1581271200000,9e-07,9.1e-07,8.9e-07,9.1e-07,1917676.0,2020-02-09 18:00:00
22,1581267600000,9.2e-07,9.2e-07,8.9e-07,9e-07,5012555.0,2020-02-09 17:00:00
23,1581264000000,9.2e-07,9.5e-07,9.1e-07,9.2e-07,6486773.0,2020-02-09 16:00:00
24,1581260400000,9.1e-07,9.3e-07,8.9e-07,9.2e-07,12504717.0,2020-02-09 15:00:00
25,1581256800000,9e-07,9.5e-07,8.9e-07,9e-07,19845465.0,2020-02-09 14:00:00
